Title,Certificate,Rating,Metascore,ScaledRating
AVPR: Aliens vs Predator - Requiem,R,4.6,29,46
Cash Out,R,4.6,49,46
Fool's Paradise,R,4.7,27,47
Miss March,R,5,7,50
Dangerous,R,5.2,27,52
Color of Night,R,5.2,36,52
You Belong to Me,R,5.3,32,53
The Monster,R,5.4,69,54
The Underdoggs,R,5.6,39,56
The Babysitters,R,5.6,35,56
MacGruber,R,5.6,43,56
Sting,R,5.8,57,58
The Independent,R,5.8,48,58
Medieval,R,5.9,46,59
Tragedy Girls,R,6,58,60
Relic,R,6,77,60
In Secret,R,6.1,47,61
Babes,R,6.1,74,61
Road House,R,6.2,57,62
We Are Your Friends,R,6.2,46,62
Third Person,R,6.3,38,63
The Beguiled,R,6.3,77,63
How I Live Now,R,6.4,57,64
The Only Living Boy in New York,R,6.4,33,64
Forsaken,R,6.4,55,64
Stand Up Guys,R,6.4,41,64
Beirut,R,6.5,69,65
Pain Hustlers,R,6.5,44,65
Wonderland,R,6.5,43,65
BÃ¸lgen,R,6.6,68,66
Suncoast,R,6.6,61,66
Bloody Hell,R,6.6,52,66
Stillwater,R,6.6,60,66
Brooklyn's Finest,R,6.7,43,67
Attack the Block,R,6.7,75,67
Summer of Sam,R,6.7,67,67
Behind the Mask: The Rise of Leslie Vernon,R,6.7,66,67
Bis ans Ende der Welt,R,6.8,63,68
Man Up,R,6.8,69,68
Safety Not Guaranteed,R,6.9,72,69
Mighty Aphrodite,R,7,60,70
Friday,R,7.2,54,72
Dans la maison,R,7.3,72,73
Trumbo,R,7.4,60,74
Reign Over Me,R,7.4,61,74
Ghost Dog: The Way of the Samurai,R,7.5,68,75
La migliore offerta,R,7.8,49,78
Bound by Honor,R,7.9,47,79
Deadpool,R,8,65,80
Magpie,R,8.8,69,88